feature,VIF
cmc,5.985421042423962
flavor_text,7.016900046414243
mtgo,0.0
paper,0.0
arena,20.42781506564793
Adamant,inf
Adapt,31.015702265828356
Addendum,inf
Afflict,6.022434731472176
Afterlife,inf
Aftermath,inf
Amass,inf
Ascend,inf
Boast,inf
Changeling,
Companion,inf
Constellation,inf
Convoke,inf
Coven,inf
Crew,inf
Cycling,16.200995806079582
Daybound,inf
Deathtouch,7.5432902010126455
Defender,6.8675469653146655
Disturb,37.09707405330221
Double strike,5.5645931178637635
Embalm,inf
Enchant,29.618580310571858
Enrage,inf
Equip,inf
Escape,inf
Eternalize,inf
Exert,inf
Exploit,
Explore,inf
Fabricate,inf
Fight,9.474090650459873
First strike,4.259786650877822
Flash,62.483942944607
Flashback,77.89570486880173
Flying,18.11402756063023
Foretell,inf
Haste,9.255392577892213
Hexproof,7.651735615431122
Hexproof from,7.075833776280657
Indestructible,4.133252199484933
Investigate,inf
Jump-start,inf
Kicker,inf
Landfall,inf
Learn,11.445926715422168
Lifelink,4.194653921542873
Magecraft,inf
Menace,6.406898717808163
Mentor,inf
Mill,inf
Mutate,26.032828729899343
Nightbound,inf
Pack tactics,inf
Proliferate,inf
Protection,10.79961575197944
Prowess,
Raid,inf
Reach,11.659885428847495
Riot,inf
Scry,inf
Spectacle,inf
Surveil,5.689763732091457
Trample,8.785901426861205
Transform,inf
Undergrowth,inf
Vigilance,5.555198003292828
Ward,12.560481958297013
abilities_count,16.356217830309003
mana_symbols_cost,5.544512345867732
X_spell,5.76616151237477
mana_symbols_oracle,18.56849953938046
mana_symbols_oracle_nbr,23.225186474166083
tapping_ability,4.695451971546694
multiple_choice,8.912846835961801
token_tkn,78.34694788363164
though_tkn,13.095132850791956
magic_tkn,2.473978076918137
four_tkn,3.2621859839124228
merfolk_tkn,2.0639169760790406
tough_tkn,7.453642494583517
put_tkn,18.07986009376867
must_tkn,7.500387044336142
caus_tkn,5.220388303272017
deck_tkn,9.365616146967561
gideon_tkn,1.7230628502492662
mill_tkn,inf
dice_tkn,2.771290079090001
non-dragon_tkn,
vampir_tkn,2.0124983573288313
maximum_tkn,inf
giant_tkn,6.209129139466837
basic_tkn,7.955724008692784
changel_tkn,
oppon_tkn,4.519909660069822
devot_tkn,4.659127926077334
graveyard_tkn,9.318848639281969
goat_tkn,
boast_tkn,inf
power_tkn,13.487509438630944
tail_tkn,
controller'_tkn,4.973035737858577
distribut_tkn,
artifact_tkn,3.927072262908833
turn_tkn,11.829416945004917
trampl_tkn,8.703093940023551
face-up_tkn,inf
instant_tkn,18.812810598081278
that'_tkn,5.0650130794574375
brick_tkn,3.04064198985976
start_tkn,9.708705821156185
vraska_tkn,3.2430094869161743
nonartifact_tkn,
lifelink_tkn,10.197549731203766
flashback_tkn,55.54305384778264
servo_tkn,5.049720277378948
goblin_tkn,2.0636777538259814
nonlegendari_tkn,1.6276376329792022
spent_tkn,11.62923519789773
remov_tkn,4.791743540241689
coven_tkn,inf
plu_tkn,3.536721134674615
equip_tkn,6.180620313123591
die_tkn,12.46476837358977
repeat_tkn,inf
gate_tkn,1.5393307448999278
spell_tkn,24.881421986049492
separ_tkn,
player'_tkn,3.984593737026917
learn_tkn,inf
everi_tkn,
owner'_tkn,14.539468195675378
cycl_tkn,10.09975783612942
face_tkn,9.061030181968157
cleric_tkn,4.109254568178417
noncombat_tkn,6.219310964395266
spell'_tkn,4.411604114753978
produc_tkn,inf
block_tkn,6.334419861794707
tap_tkn,3.035685962856899
protect_tkn,18.312996567210583
amass_tkn,inf
cost_tkn,20.825169136607112
enchant_tkn,7.305463680703298
target_tkn,5.371109827325026
disturb_tkn,10.420305314783018
blood_tkn,
sacrific_tkn,4.525632289930938
combin_tkn,
parti_tkn,2.656711821212861
fli_tkn,9.983464423366446
top_tkn,29.632429229009013
step_tkn,14.6239070803501
one_tkn,5.88738957518445
scri_tkn,inf
escap_tkn,inf
dealt_tkn,28.68691784485927
constel_tkn,inf
ward_tkn,26.968045713121057
nonland_tkn,4.517475032171653
afterlif_tkn,inf
hand_tkn,14.031621584145677
decay_tkn,2.8856332610497044
odd_tkn,inf
leav_tkn,3.4237762814021715
fewer_tkn,
exploit_tkn,
e_tkn,2.842988891696336
kick_tkn,37.57499820737438
anoth_tkn,3.0392097168924654
emblem_tkn,inf
new_tkn,5.894843658249533
paid_tkn,3.9524507722047892
rogu_tkn,4.624231736994136
contain_tkn,
cat_tkn,3.2428237864919653
share_tkn,4.237148879785255
pack_tkn,inf
dinosaur_tkn,1.9966853079790212
among_tkn,12.365537705004275
sacrif_tkn,5.281011527330174
process_tkn,inf
way_tkn,4.23583685079074
knight_tkn,2.341272480271572
second_tkn,2.680764302369318
player_tkn,4.89871066722739
exchang_tkn,4.120770407017289
equal_tkn,7.04231445280205
total_tkn,6.91352152046662
whenev_tkn,9.60022327231054
return_tkn,31.609030096929864
becom_tkn,7.344333774454459
third_tkn,4.605324685499272
vigil_tkn,6.356613685723317
spend_tkn,9.081294959302806
first_tkn,13.35769212141179
rather_tkn,18.43182810869995
insect_tkn,2.0685378698301222
island_tkn,4.682374455542655
transform_tkn,inf
companion_tkn,inf
resolv_tkn,4.267365536597237
seven_tkn,3.2874672089534256
random_tkn,11.425447639209752
owner_tkn,10.718069482565916
differ_tkn,15.277011926003109
true_tkn,3.308755303352285
prolifer_tkn,inf
magecraft_tkn,inf
untap_tkn,6.025786223190709
green_tkn,4.816629552546714
move_tkn,inf
pirat_tkn,2.8050376971478674
exactli_tkn,4.938331860355923
singl_tkn,inf
draw_tkn,22.38579929066099
histor_tkn,2.135966479078341
explor_tkn,inf
nissa_tkn,14.6574743458231
desert_tkn,1.7224439052423333
element_tkn,19.24327383100396
undergrowth_tkn,inf
spirit_tkn,3.5259042075491354
day_tkn,inf
addit_tkn,5.476168574703469
raid_tkn,inf
play_tkn,5.628675660791145
alon_tkn,2.435050108287869
trigger_tkn,7.020352539918389
surveil_tkn,10.96075756912052
permanent'_tkn,inf
planeswalk_tkn,3.4485809031099226
dragon_tkn,8.465881969290843
beast_tkn,4.614309116457676
deathtouch_tkn,5.851324299235238
adventur_tkn,1.5948142401159433
werewolf_tkn,
breath_tkn,3.842697755146573
fabric_tkn,inf
choic_tkn,5.6866026921322685
nonbas_tkn,3.0961928173626303
etern_tkn,inf
can't_tkn,7.82419693573582
minu_tkn,1.5746362534436062
hast_tkn,11.057701510810084
game_tkn,39.552292659538494
lose_tkn,6.691309367036117
abl_tkn,9.58646604654942
