feature,VIF
chandra_tkn,1.8143238486049955
saprol_tkn,1.960655988972647
basic_tkn,5.214068809448868
prolifer_tkn,inf
cycl_tkn,12.96721638387272
cleav_tkn,
warrior_tkn,3.3482436689865627
rather_tkn,17.86658108972718
jump-start_tkn,inf
adapt_tkn,59.80696697163908
servo_tkn,1.7313420543019336
exchang_tkn,3.977716580881421
ventur_tkn,inf
surveil_tkn,23.682737844747884
step_tkn,13.092961667275787
equip_tkn,12.442204624553629
combin_tkn,2.55536383997401
sacrific_tkn,3.913542478712806
spell_tkn,24.9954105080745
thopter_tkn,2.5804850303243856
nightbound_tkn,inf
chosen_tkn,4.885317657278384
round_tkn,inf
main_tkn,19.194747906345473
e_tkn,3.191382806864705
differ_tkn,3.814744589288439
gain_tkn,8.512680709137324
still_tkn,16.692593641366514
shuffl_tkn,35.25399951677371
decay_tkn,2.474008570155217
game_tkn,13.852870756804585
class_tkn,5.696823226756169
trampl_tkn,5.387296689304499
greatest_tkn,3.464480310066753
histor_tkn,2.265678175401085
onto_tkn,8.321390540722135
beast_tkn,38.252916128049335
pay_tkn,5.2205201009322755
aura_tkn,2.3227185027699524
new_tkn,8.200412436031522
third_tkn,6.394367650712339
whenev_tkn,10.215975936347736
first_tkn,14.519542294267461
win_tkn,inf
human_tkn,4.274625333507717
reduc_tkn,17.748758079406503
total_tkn,4.389634783660678
otherwis_tkn,2.886118829942593
transform_tkn,inf
oppon_tkn,4.221407039313774
escap_tkn,14.335625330673041
color_tkn,10.155349874722805
snake_tkn,1.8485806675286445
spend_tkn,6.621732970074127
copi_tkn,49.70292611535537
lifelink_tkn,10.517735557178225
turn_tkn,10.521129683415824
battlefield_tkn,28.469209585045192
tough_tkn,13.017876610356419
choos_tkn,8.524202576119064
doubl_tkn,10.965478272270868
leav_tkn,3.1292952390285027
loyalti_tkn,9.036432395744546
indestruct_tkn,14.406693502510876
number_tkn,4.139294653737286
mani_tkn,3.6155677395880015
valu_tkn,18.653766689533903
activ_tkn,5.7074763118177
scri_tkn,64.08967385816739
random_tkn,8.55510750605361
type_tkn,5.771398346745551
becom_tkn,5.146543191853076
target_tkn,5.055475069962598
half_tkn,inf
legendari_tkn,3.2180716025068645
discard_tkn,4.305651065360017
werewolv_tkn,3.503874778139667
next_tkn,6.599107147765697
fli_tkn,10.874055517970202
etern_tkn,inf
instant_tkn,25.062840938541623
embalm_tkn,inf
deathtouch_tkn,5.043547717559607
effect_tkn,32.154928992409666
put_tkn,14.063766092216104
amass_tkn,inf
aftermath_tkn,inf
deck_tkn,12.866988411077381
blood_tkn,1.8728709241525996
sacrif_tkn,3.6392620353924268
seven_tkn,5.003688814659412
wizard_tkn,2.506369952429685
wolf_tkn,inf
size_tkn,inf
attach_tkn,2.7225551229374063
less_tkn,11.824969917160548
exil_tkn,7.062112330334477
undergrowth_tkn,inf
dice_tkn,13.15790399609495
foretel_tkn,52.01299906085407
one_tkn,5.280450256706206
rogu_tkn,3.178659685598756
adam_tkn,inf
planeswalk_tkn,3.492082825061908
plu_tkn,3.1000817929901827
choic_tkn,2.7492007585856078
jace_tkn,2.2761937414587488
elf_tkn,2.609777008411557
blue_tkn,5.882935273509714
cardname'_tkn,5.994622117722305
pirat_tkn,2.5453770751874387
ward_tkn,9.667244830019657
abl_tkn,5.8544110304164
protect_tkn,9.55999441832276
magic_tkn,
fight_tkn,inf
nonlegendari_tkn,2.8858668211230434
day_tkn,inf
unless_tkn,3.109923035085428
that'_tkn,13.516563645571093
produc_tkn,12.405880166171714
can't_tkn,7.343457850103091
island_tkn,3.4241221090994047
nissa_tkn,1.9007018552286528
god_tkn,2.9058214590880254
die_tkn,9.270025018221235
zombi_tkn,3.533886652661222
dinosaur_tkn,2.6075105720384437
white_tkn,10.063097229399881
resolv_tkn,4.194712325228127
nontoken_tkn,3.004851707051747
instead_tkn,8.752044110105208
rest_tkn,21.077016765482636
reveal_tkn,9.451054426134332
exert_tkn,inf
contain_tkn,inf
tactic_tkn,inf
giant_tkn,3.3019367305208442
