feature,VIF
nontoken_tkn,2.3676942650608193
vehicl_tkn,3.9164609582560526
wall_tkn,2.2820598262946867
giant_tkn,2.077865452035342
caus_tkn,7.029488428385288
move_tkn,1.7385417194762736
flash_tkn,34.14355925541259
elv_tkn,1.82666180085963
devil_tkn,inf
attack_tkn,4.5754961679316635
disturb_tkn,5.816747416504091
indestruct_tkn,9.189782476722439
outsid_tkn,inf
noncombat_tkn,3.42338293045076
nightmar_tkn,10.003040252237085
creature'_tkn,2.466901019958872
pile_tkn,inf
spirit_tkn,2.450786839785162
play_tkn,3.5032599145381274
fli_tkn,9.90854978371703
paid_tkn,2.713630166104248
adam_tkn,inf
kick_tkn,7.480629908469549
excess_tkn,1.611305088231277
sourc_tkn,5.478471691406322
riot_tkn,9.1430624425147
rather_tkn,9.478148907645718
leav_tkn,2.2499043755665937
rogu_tkn,2.7286559678749733
owner_tkn,1.9827325474838449
assign_tkn,4.346070020114389
werewolv_tkn,13.227793244920656
pack_tkn,inf
saprol_tkn,1.888622681367445
card_tkn,9.730498563115107
nightbound_tkn,inf
liliana_tkn,
bear_tkn,1.42758751104202
artifact_tkn,3.030032070339123
battlefield_tkn,24.657711880981125
least_tkn,11.78159677689651
tail_tkn,inf
owner'_tkn,6.88205822327477
tough_tkn,7.838085564951807
sphinx_tkn,1.5169649029302994
token_tkn,38.030337106437074
new_tkn,7.108734518804472
gain_tkn,5.723391550768527
attach_tkn,2.4850187192112547
face_tkn,2.9042815429923365
insect_tkn,2.025584865115547
coven_tkn,inf
goat_tkn,3.063856390897652
maximum_tkn,inf
charg_tkn,1.5899592108781098
vampir_tkn,1.5334290929753969
size_tkn,11.920784692333429
phase_tkn,9.36908385639992
begin_tkn,11.572457093739708
defend_tkn,4.3164998540162545
greatest_tkn,2.5362666189323395
bola_tkn,1.447773220218199
hexproof_tkn,7.227925335855052
combat_tkn,16.378117890378718
much_tkn,2.6829671889846245
cardname'_tkn,4.945152028089979
nonartifact_tkn,
minotaur_tkn,1.684291797427703
night_tkn,3.7511498454502523
menac_tkn,4.619941066967965
lesser_tkn,2.3907622000367454
power_tkn,5.840344610675125
plu_tkn,2.1666121754306076
white_tkn,7.140732234085856
wolv_tkn,12.294864398885867
draw_tkn,12.994262900424332
frog_tkn,1.4708918404227196
cleric_tkn,2.9014675056264547
elf_tkn,1.8293658878079309
dealt_tkn,6.5712001771250375
prolifer_tkn,inf
coin_tkn,4.888738168205616
pest_tkn,2.928465027695785
changel_tkn,inf
wolf_tkn,4.5520804950372
nonbas_tkn,1.913323629361557
deathtouch_tkn,3.2865241243391377
target_tkn,3.9710152981946436
monocolor_tkn,1.5179087455424172
player'_tkn,2.0871341455080774
roll_tkn,2.696732444955791
human_tkn,2.633204924359782
non-human_tkn,1.463101964924402
sacrific_tkn,3.0679157115218536
discard_tkn,3.40670938850074
serpent_tkn,2.6373828438103035
snake_tkn,2.700474982371888
complet_tkn,2.0561097780358732
search_tkn,17.63097917688419
blue_tkn,3.5961669696857594
abil_tkn,4.8130726491617315
equip_tkn,9.56511024234346
also_tkn,2.0834573644051244
rest_tkn,7.8634668800240455
deal_tkn,68.00062909487539
divid_tkn,2.6367171139479573
equal_tkn,3.872329306516033
crew_tkn,43.324342496114134
would_tkn,8.385762242332898
distribut_tkn,1.5275516009406704
loyalti_tkn,3.362371363162317
controller'_tkn,3.5696472537716835
investig_tkn,inf
desert_tkn,1.5935264054312468
island_tkn,2.1529599711227445
enchant_tkn,4.075178027846794
tap_tkn,2.4885305903156545
first_tkn,9.385828764823511
unattach_tkn,1.6118538869241625
destroy_tkn,2.9938121117574115
six_tkn,2.519313759336552
sacrif_tkn,3.2502797637347354
exert_tkn,inf
abl_tkn,3.144635478405714
lifelink_tkn,6.817767012554016
without_tkn,8.480441900388708
exchang_tkn,1.970565557947975
legendari_tkn,2.280583032799686
aftermath_tkn,inf
adventur_tkn,1.590967275658063
kicker_tkn,31.32156333903959
minu_tkn,
vigil_tkn,5.010589585572794
color_tkn,7.065425195811237
step_tkn,10.63778515321541
cardnam_tkn,4.479456201124139
second_tkn,1.7719403453447506
raid_tkn,inf
servo_tkn,2.0007726641675925
repeat_tkn,inf
decay_tkn,2.3153125865071953
choic_tkn,2.0845584621694018
landfal_tkn,inf
put_tkn,10.624748174142296
amass_tkn,inf
chosen_tkn,3.8525370820993308
true_tkn,2.885209914285848
return_tkn,12.712633373051109
treasur_tkn,10.92176617142172
sorceri_tkn,14.661449937510593
afterlif_tkn,inf
addit_tkn,4.5443017035228115
multicolor_tkn,1.434479230147977
choos_tkn,6.512332833236146
less_tkn,9.099598725217863
boast_tkn,inf
enrag_tkn,inf
becom_tkn,3.6218492365742145
cycl_tkn,6.031243907084043
player_tkn,3.110036694185464
undergrowth_tkn,inf
can't_tkn,5.485459877852806
round_tkn,14.220673184699825
last_tkn,4.010054438421222
seven_tkn,2.6399066443425
must_tkn,2.410221496403709
magecraft_tkn,inf
main_tkn,6.532257086783029
anoth_tkn,2.35739729503867
werewolf_tkn,3.22969145827894
onto_tkn,8.366022183997577
construct_tkn,3.2619996702322407
cat_tkn,3.375525299331904
reach_tkn,6.470205366135575
chang_tkn,
permanent'_tkn,1.3457144814578523
emblem_tkn,4.503898872161445
otherwis_tkn,1.9184647338685203
whenev_tkn,7.105199331888449
number_tkn,2.948868140554108
surveil_tkn,9.666166449277316
bless_tkn,inf
merfolk_tkn,1.6859510614379516
escap_tkn,inf
red_tkn,2.877499342241609
alon_tkn,1.660271980072593
cost_tkn,16.820210568546074
warrior_tkn,2.5763085020718934
parti_tkn,1.8286325393758212
instead_tkn,4.217917107131417
cast_tkn,21.81536829033412
fabric_tkn,inf
devot_tkn,2.592235719956831
fight_tkn,25.27702716362803
tactic_tkn,inf
back_tkn,
twice_tkn,3.097759661643201
face-up_tkn,23.992930533660395
rat_tkn,1.5767402119665865
faeri_tkn,1.7104574291039376
singl_tkn,1.7118408978753403
greater_tkn,3.20306197721618
bottom_tkn,13.27680626180157
unless_tkn,2.816027023882356
food_tkn,2.430887661230412
open_tkn,
two_tkn,2.0831202729986216
five_tkn,2.532424449992728
non-dragon_tkn,
name_tkn,3.676355686509193
time_tkn,4.7325512508979735
produc_tkn,5.223092095642602
block_tkn,4.421056613898889
dragon_tkn,1.7528602408871912
trampl_tkn,4.388229605171773
soldier_tkn,2.226339557676396
brick_tkn,1.6647968898526249
lose_tkn,5.8502747727520115
histor_tkn,1.681708927496475
god_tkn,2.0250613591043596
though_tkn,4.100829896909748
shapeshift_tkn,inf
foretel_tkn,20.475178807116187
jace_tkn,1.4738474954170975
spell_tkn,17.897104667743996
doubl_tkn,6.130882327703534
turn_tkn,7.165280686674183
kind_tkn,4.248783540208951
neither_tkn,inf
Sorcery_type,11.40111622850236
Davriel_type,
Thopter_type,1.1735544999224232
Merfolk_type,2.839547534331532
Bard_type,2.13044998173721
Elephant_type,1.4065040263001172
Instant_type,11.211802082442501
Class_type,inf
Plains_type,
Treefolk_type,1.4868875295982762
Scorpion_type,1.2669415233979147
Squirrel_type,
Huatli_type,10.832308532484847
Barbarian_type,inf
Spider_type,2.7376968002511157
Teyo_type,3.645881637485252
Pilot_type,3.779515428482298
Octopus_type,inf
Leviathan_type,1.9405078184037738
Basilisk_type,
Jackal_type,1.5346254350186794
Citizen_type,1.3107428536780221
Snow_type,4.003645407961937
Turtle_type,1.9356295270264425
Curse_type,1.9774085655289289
Desert_type,
Werewolf_type,inf
Lukka_type,
Frog_type,2.06673304414402
Vivien_type,5.936408582378802
Siren_type,1.6230466785111413
Kobold_type,
Lamia_type,5.162775437993679
Beast_type,2.628683713911346
Monkey_type,3.0211673751928982
Golem_type,2.427081440404969
Mutant_type,2.24450167791404
Egg_type,2.1484729831869545
Gremlin_type,1.259176022250144
Ashiok_type,9.544785852854956
Salamander_type,
Insect_type,1.7532363383257492
Dovin_type,9.857912075700929
Faerie_type,1.8131799949995542
Ral_type,8.085378437538907
Minotaur_type,2.0390067695016736
Thrull_type,1.2107358521540128
Gnoll_type,inf
Advisor_type,2.235743311528076
Nissa_type,11.188862840332725
Juggernaut_type,1.6625985263228733
Brushwagg_type,
Elder_type,3.8336570114321744
Sheep_type,1.614292422926603
Avatar_type,2.2222965527620717
Imp_type,1.3329090087569984
Serpent_type,3.7338826664013554
Boar_type,1.4285113278010668
Horror_type,1.9199157030227385
Wolverine_type,
Kavu_type,
Vampire_type,3.2928622526348854
Rune_type,1.7332845018199412
Sorin_type,3.8450381412098094
Plant_type,1.9506360148397306
Dryad_type,1.5824248898710003
Satyr_type,3.131837923732982
Ajani_type,3.3269853793501216
Vraska_type,10.003897021707418
Soldier_type,2.3704151737522148
Artifact_type,11.203127358691818
Spirit_type,2.847002325670399
Gargoyle_type,1.804505661997943
Whale_type,1.2043097652991437
Leech_type,1.2872887856920956
Demon_type,3.0991981729772506
Nightmare_type,2.0026378819211876
Rowan_type,inf
Angel_type,3.1352173770960454
Kiora_type,4.001504834418227
Swamp_type,
Hippogriff_type,
Kor_type,2.0823432878633366
Planeswalker_type,inf
Goblin_type,2.3407330658703303
Specter_type,1.7987823693609042
Homunculus_type,1.6616902326537863
Homarid_type,1.293386167576385
Equipment_type,inf
Niko_type,inf
Chandra_type,6.55005429959589
Fox_type,1.7002689735085512
Fish_type,2.158551768663823
Aura_type,21.45972658629832
Human_type,12.15482117488013
Mountain_type,
Nymph_type,1.3915763390909155
Illusion_type,1.5207927608987133
Crocodile_type,1.7272436961405024
Wolf_type,1.5488957203671283
Warrior_type,3.4401636836362246
Tyvar_type,
Land_type,
Zariel_type,inf
Oko_type,7.975202303326978
Wizard_type,3.212823545660847
Squid_type,
Tiefling_type,3.127299777387706
Treasure_type,inf
Lesson_type,1.5707605907224933
Rhino_type,1.25759149498239
Aetherborn_type,1.310807188687981
Ellywick_type,
Scout_type,2.204636590990309
Drake_type,1.7626467954943796
Worm_type,
Weird_type,
Peasant_type,1.6320588739465476
Assembly-Worker_type,1.3879931524750018
Dinosaur_type,3.5501349226482577
Hippo_type,1.6563277969126529
Devil_type,1.5236457774337644
Naga_type,1.7221127718290543
Pangolin_type,
Dwarf_type,2.532952675157719
Centaur_type,1.6714576873851672
Trilobite_type,
Calix_type,4.054473669710174
Archon_type,inf
Manticore_type,1.7737603440611984
Assassin_type,1.699574237828181
Artificer_type,2.134674469989942
Lolth_type,
Unicorn_type,1.8461632481839778
Tezzeret_type,4.577700511550149
None_type,
Samut_type,5.486271737951176
Yeti_type,
Construct_type,3.48751061378305
Ox_type,1.3234655138830447
Demigod_type,5.221841040620823
Enchantment_type,9.81830747764814
Ogre_type,1.6315751409989785
Legendary_type,4.474937477344763
Fungus_type,2.1748934360014327
Gorgon_type,1.432225252953007
Phoenix_type,1.5523054824474158
Jellyfish_type,2.688377754691226
Karn_type,8.241127422826102
Wurm_type,2.657310343744862
Teferi_type,12.869047503497969
Bear_type,1.3335098298069334
Vehicle_type,inf
Praetor_type,inf
Coward_type,1.5990525735376124
Cyclops_type,1.4154632251180455
Elk_type,2.7785279638003324
Rat_type,
Cat_type,2.18506415182101
Djinn_type,2.1664771321336747
Horse_type,1.773344808523533
Hydra_type,2.290912785224813
Elemental_type,2.6278990005823557
Ape_type,1.5084128559355863
Pirate_type,2.9825880122615316
Scarecrow_type,1.5005441612071417
Halfling_type,1.4779723585062317
Jace_type,3.3006075079327406
Elspeth_type,
Mole_type,1.176533528703487
Pegasus_type,1.2104404402292417
Gate_type,
Crab_type,2.2351887098604606
Sarkhan_type,
Mouse_type,1.380744881361314
Basic_type,
Giant_type,2.7110543283433626
Tamiyo_type,4.754085304299903
Sphinx_type,1.7523598391260966
Lizard_type,1.587054249064386
Pest_type,6.355463928619553
Bolas_type,8.29525932278921
Bahamut_type,
Shaman_type,2.3524028509692334
Elf_type,3.860509930197636
Noble_type,1.8168775510693904
Adventure_type,2.049257820332641
Warlock_type,2.176830820670347
Liliana_type,3.653102216877529
Orc_type,2.4470607010965093
Jaya_type,
Knight_type,2.8530384608248074
Gnome_type,1.4157504030231574
Rogue_type,2.524335672324495
Wall_type,3.681758506314472
Viashino_type,1.4978823947421152
Saheeli_type,6.444850754332677
Antelope_type,1.1033497121280866
Cleric_type,2.4568162792031276
Zombie_type,2.7622564390841706
Creature_type,739.3428807787471
Dragon_type,3.3674222409682675
Narset_type,5.944091345661499
Otter_type,2.2621356733177165
Eye_type,
Mordenkainen_type,
Dog_type,1.4449064434588066
Kaya_type,8.862137002921195
Griffin_type,1.4615507792594205
Arlinn_type,inf
Garruk_type,4.628969131725171
Domri_type,8.167524410661661
Hellion_type,2.5322724608256824
Druid_type,3.054934500360994
Cartouche_type,1.2126624217206725
Saga_type,4.312244494094723
Shark_type,inf
Goat_type,1.6491982600129997
Food_type,1.4628356103337876
Tibalt_type,
Hyena_type,
God_type,4.463147186262946
Camel_type,2.195143504389896
Vedalken_type,1.9398461378725451
Phyrexian_type,inf
Yanggu_type,
Kasmina_type,inf
Bird_type,3.0032455789114905
Shapeshifter_type,4.71078204734682
Archer_type,1.6540704707695901
Ouphe_type,1.3752820207563705
Harpy_type,1.4403608120415972
Gideon_type,5.789842210540696
Monk_type,3.337637072512689
Snake_type,2.2187240419458063
Beholder_type,1.7287949074914826
Kraken_type,2.856021974216935
Bat_type,1.3862349839177264
Angrath_type,7.562949761316452
Forest_type,
Ugin_type,4.64934806174025
Will_type,inf
Troll_type,2.077437999006575
Shade_type,1.09096393221625
Chimera_type,2.0521244921997286
Ranger_type,2.5367536993541773
Island_type,
Wrenn_type,
Skeleton_type,1.5646860946898573
Ooze_type,2.11053897297214
Nahiri_type,7.1220217685049105
Nixilis_type,
Efreet_type,3.145648737700421
Berserker_type,2.116593591714091
flavor_text_len,5.447867573212114
counterspell,inf
manarock,inf
manadork,inf
removal,inf
wrath,inf
ramp,inf
tutor,inf
cardraw,inf
burn,inf
discard,inf
enters_bf,inf
die_trigger,inf
attack_trigger,inf
pseudo_ramp,inf
static_ramp,inf
creature_tokens,inf
extra_turn,inf
plus1_counters,inf
graveyard_hate,inf
free_spells,inf
bounce_spell,inf
sac_outlet,inf
sac_payoff,inf
cant_counter,inf
costx_more,inf
costx_moreactivate,
costx_less,inf
costx_lessacitivate,inf
whenever_opp,inf
returnfrom_gy,inf
reanimation,inf
castfrom_gy,inf
lord,inf
upkeep_trigger,inf
endstep_trigger,inf
landfall,inf
combat_trigger,inf
life_gain,inf
treasure_tokens,inf
protection,inf
cost_reduction,inf
mana_multipliers,inf
card_selection,inf
whenever_cast,inf
gain_control,inf
unblockeable,inf
difficult_block,inf
create_copy,inf
milling,inf
trigger_multiplier,inf
untapper,inf
static_effects,inf
damage_multipliers,inf
variable_pt,inf
agressive,inf
doublers,inf
blinker,inf
graveyard_tutor,inf
play_toplibrary,inf
life_lose,inf
play_from_graveyard,inf
infect,
disenchant,inf
venture,inf
animator,inf
wish,inf
gy_synergies,inf
looting_similar,inf
cheatinto_play,inf
pumped_foreach,inf
ritual,inf
no_maximum,inf
wheel,inf
extra_combat,inf
ghostly_prison,inf
land_destruction,inf
win_game,inf
lose_game,inf
cant_lose,inf
total_abilites,inf
land,
prints,1.576858695630989
power_*,inf
power_0,inf
power_1,inf
power_1+*,inf
power_10,inf
power_11,inf
power_12,inf
power_16,inf
power_2,inf
power_3,inf
power_4,inf
power_5,inf
power_6,inf
power_7,inf
power_8,inf
power_9,inf
power_None,inf
toughness_*,inf
toughness_*+1,
toughness_0,inf
toughness_1,inf
toughness_10,inf
toughness_11,
toughness_12,inf
toughness_16,inf
toughness_17,
toughness_2,inf
toughness_3,inf
toughness_4,inf
toughness_5,inf
toughness_6,inf
toughness_7,inf
toughness_8,inf
toughness_9,inf
toughness_None,inf
rarity_common,inf
rarity_mythic,inf
rarity_rare,inf
rarity_uncommon,inf
loyalty_2,inf
loyalty_3,inf
loyalty_4,inf
loyalty_5,inf
loyalty_6,inf
loyalty_7,inf
loyalty_None,inf
loyalty_X,inf
standard_banned,inf
standard_legal,inf
standard_not_legal,inf
historic_banned,inf
historic_legal,inf
historic_not_legal,inf
pioneer_banned,inf
pioneer_legal,inf
modern_banned,inf
modern_legal,inf
legacy_banned,inf
legacy_legal,inf
pauper_legal,inf
pauper_not_legal,inf
vintage_legal,inf
vintage_restricted,inf
commander_banned,inf
commander_legal,inf
